Time,Price
2019-11-13 10:38:59.999,8767.53
2019-11-13 10:39:59.999,8765.0
2019-11-13 10:40:59.999,8765.57
2019-11-13 10:41:59.999,8764.02
2019-11-13 10:42:59.999,8767.88
2019-11-13 10:43:59.999,8770.2
2019-11-13 10:44:59.999,8771.63
2019-11-13 10:45:59.999,8771.04
2019-11-13 10:46:59.999,8769.56
2019-11-13 10:47:59.999,8771.46
2019-11-13 10:48:59.999,8770.3
2019-11-13 10:49:59.999,8770.4
2019-11-13 10:50:59.999,8780.0
2019-11-13 10:51:59.999,8787.85
2019-11-13 10:52:59.999,8785.48
2019-11-13 10:53:59.999,8785.24
2019-11-13 10:54:59.999,8785.67
2019-11-13 10:55:59.999,8787.41
2019-11-13 10:56:59.999,8781.97
2019-11-13 10:57:59.999,8780.1
2019-11-13 10:58:59.999,8779.47
2019-11-13 10:59:59.999,8777.01
2019-11-13 11:00:59.999,8777.97
2019-11-13 11:01:59.999,8779.08
2019-11-13 11:02:59.999,8787.67
2019-11-13 11:03:59.999,8791.2
2019-11-13 11:04:59.999,8801.56
2019-11-13 11:05:59.999,8799.0
2019-11-13 11:06:59.999,8802.65
2019-11-13 11:07:59.999,8792.86
2019-11-13 11:08:59.999,8792.49
2019-11-13 11:09:59.999,8789.35
2019-11-13 11:10:59.999,8783.0
2019-11-13 11:11:59.999,8790.77
2019-11-13 11:12:59.999,8787.6
2019-11-13 11:13:59.999,8787.76
2019-11-13 11:14:59.999,8784.09
2019-11-13 11:15:59.999,8785.0
2019-11-13 11:16:59.999,8788.05
2019-11-13 11:17:59.999,8785.08
2019-11-13 11:18:59.999,8779.49
2019-11-13 11:19:59.999,8779.83
2019-11-13 11:20:59.999,8777.16
2019-11-13 11:21:59.999,8775.98
2019-11-13 11:22:59.999,8776.48
2019-11-13 11:23:59.999,8777.6
2019-11-13 11:24:59.999,8780.67
2019-11-13 11:25:59.999,8781.29
2019-11-13 11:26:59.999,8781.34
2019-11-13 11:27:59.999,8783.68
2019-11-13 11:28:59.999,8781.75
2019-11-13 11:29:59.999,8782.96
2019-11-13 11:30:59.999,8785.61
2019-11-13 11:31:59.999,8783.99
2019-11-13 11:32:59.999,8786.81
2019-11-13 11:33:59.999,8786.87
2019-11-13 11:34:59.999,8785.46
2019-11-13 11:35:59.999,8786.59
2019-11-13 11:36:59.999,8788.87
2019-11-13 11:37:59.999,8790.0
2019-11-13 11:38:59.999,8793.69
2019-11-13 11:39:59.999,8792.54
2019-11-13 11:40:59.999,8788.34
2019-11-13 11:41:59.999,8785.64
